OrderID,OrderDate,Customer,Region,Product,Category,Quantity,Sales,Profit
1087,2026-05-28,Mia,South,Chair,Furniture,2,1500.64,448.95
1088,2026-03-04,David,North,Storage Box,Office Supplies,2,2000.76,439.73
1089,2026-01-11,Leo,South,Table,Furniture,2,1289.6,196.5
1090,2026-04-18,Paul,East,Binder,Office Supplies,6,1607.18,479.92
1091,2026-02-09,Noah,West,Pen,Office Supplies,5,1558.99,508.05
1092,2026-05-04,Olivia,South,Storage Box,Office Supplies,5,839.65,103.82
1093,2026-01-23,Ivy,South,Chair,Furniture,8,1446.13,362.19
1094,2026-03-28,Alice,South,Table,Furniture,3,1244.5,194.7
1095,2026-03-08,Karen,North,Storage Box,Office Supplies,5,1411.69,289.38
1096,2026-02-18,Charlie,West,Binder,Office Supplies,8,1410.18,172.18
1097,2026-05-02,Paul,South,Laptop,Technology,2,770.88,132.07
1098,2026-03-04,Jack,North,Paper,Office Supplies,6,1092.48,299.1
1099,2026-03-26,Leo,South,Desk,Furniture,5,665.94,57.4
1100,2026-02-19,Karen,East,Pen,Office Supplies,3,519.28,141.03
